"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"423032_ida","-23.70056","-46.5876","452","9947"
"423032_ida","-23.69994","-46.58723","453","10026"
"423032_ida","-23.6997","-46.58714","454","10054"
"423032_ida","-23.69931","-46.58705","455","10098"
"423032_ida","-23.69893","-46.58686","456","10144"
"423032_ida","-23.69867","-46.58668","457","10178"
"423032_ida","-23.69845","-46.58653","458","10207"
"423032_ida","-23.6983","-46.58635","459","10231"
"423032_ida","-23.69811","-46.58615","460","10261"
"423032_ida","-23.69791","-46.58594","461","10292"
"423032_ida","-23.6978","-46.58584","462","10308"
"423032_ida","-23.69767","-46.58574","463","10326"
"423032_ida","-23.69651","-46.58524","464","10464"
"423032_ida","-23.69535","-46.58474","465","10602"
"423032_ida","-23.69479","-46.5845","466","10669"
"423032_ida","-23.69422","-46.58426","467","10737"
"423032_ida","-23.69393","-46.58413","468","10771"
"423032_ida","-23.69376","-46.58406","469","10791"
"423032_ida","-23.69363","-46.58399","470","10808"
"423032_ida","-23.69336","-46.58389","471","10839"
"423032_ida","-23.69322","-46.58383","472","10856"
"423032_ida","-23.69307","-46.58377","473","10874"
"423032_ida","-23.69291","-46.5837","474","10892"
"423032_ida","-23.69281","-46.58362","475","10905"
"423032_ida","-23.69275","-46.58353","476","10916"
"423032_ida","-23.6927","-46.5834","477","10930"
"423032_ida","-23.69268","-46.58327","478","10944"
"423032_ida","-23.69239","-46.5826","479","11020"
"423032_ida","-23.69222","-46.58217","480","11069"
"423032_ida","-23.69213","-46.58213","481","11080"
"423032_ida","-23.69205","-46.58212","482","11090"
"423032_ida","-23.69198","-46.58214","483","11098"
"423032_ida","-23.69158","-46.58245","484","11151"
"423032_ida","-23.69133","-46.58203","485","11202"
"423032_ida","-23.69111","-46.58159","486","11253"
"423032_ida","-23.6908","-46.58096","487","11327"
"423032_ida","-23.69024","-46.5818","488","11433"
"423032_ida","-23.68964","-46.58275","489","11551"
"423032_ida","-23.68954","-46.5829","490","11569"
"423032_ida","-23.68945","-46.583","491","11583"
"423032_ida","-23.68887","-46.58325","492","11652"
"423032_ida","-23.68823","-46.58348","493","11726"
